tweet_id,retweet_count,favorite_count
892420643555336193,8479,38491
892177421306343426,6242,32990
891815181378084864,4136,24840
891689557279858688,8605,41867
891327558926688256,9336,40028
891087950875897856,3096,20077
890971913173991426,2056,11753
890729181411237888,18804,65003
890609185150312448,4245,27602
890240255349198849,7369,31680
890006608113172480,7298,30456
889880896479866881,4948,27581
889665388333682689,10013,47771
889638837579907072,4523,26962
889531135344209921,2224,14984
889278841981685760,5397,25108
888917238123831296,4481,28870
888804989199671297,4307,25398
888554962724278272,3564,19746
888078434458587136,3477,21598
887705289381826560,5366,29953
887517139158093824,11620,45907
887473957103951883,18118,68606
887343217045368832,10354,33430
887101392804085760,5931,30316
886983233522544640,7741,34910
886736880519319552,3275,11973
886680336477933568,4446,22253
886366144734445568,3187,21038
886267009285017600,4,116
886258384151887873,6246,27780
886054160059072513,104,0
885984800019947520,6782,32465
885528943205470208,6399,35733
885518971528720385,3744,20288
885311592912609280,18506,0
885167619883638784,4363,21778
884925521741709313,18354,76960
884876753390489601,5760,27738
884562892145688576,4844,24128
884441805382717440,5626,26791
884247878851493888,20368,72504
884162670584377345,2969,20231
883838122936631299,3429,21744
883482846933004288,9918,45614
883360690899218434,3663,22409
883117836046086144,6649,36940
882992080364220416,3903,23788
882762694511734784,4901,28111
882627270321602560,6071,27723
882268110199369728,11556,44654
882045870035918850,4956,29143
881906580714921986,3390,24132
881666595344535552,10633,50194
881633300179243008,7,126
881536004380872706,15903,49118
881268444196462592,5147,22926
880935762899988482,2773,16892
880872448815771648,3804,21145
880465832366813184,6270,28329
880221127280381952,4215,26881
880095782870896641,4356,27440
879862464715927552,3491,22177
879674319642796034,10,311
879492040517615616,3179,23249
879415818425184262,44066,105149
879376492567855104,3112,16654
879130579576475649,6830,0
879050749262655488,4707,22429
879008229531029506,2685,18845
878776093423087618,4128,19288
878604707211726852,7199,30065
878404777348136964,1290,0
878316110768087041,6646,0
878281511006478336,1290,7700
878057613040115712,6830,41769
877736472329191424,19103,79357
877611172832227328,80,0
877556246731214848,3814,22597
877316821321428993,5169,27194
877201837425926144,5587,26940
876838120628539392,3351,20545
876537666061221889,4618,23310
876484053909872640,2393,18637
876120275196170240,4687,27732
875747767867523072,4296,25041
875144289856114688,4927,21795
875097192612077568,6043,27278
875021211251597312,4723,25326
874680097055178752,4658,27677
874434818259525634,14787,0
874296783580663808,4127,25932
874057562936811520,3966,22538
874012996292530176,10478,34462
873580283840344065,3960,24126
873337748698140672,1593,0
873213775632977920,1593,7219
872967104147763200,5427,27278
872820683541237760,3709,14670
872668790621863937,28,0
872620804844003328,3720,20718
872486979161796608,9057,40558
872261713294495745,6373,34113
872122724285648897,8173,34372
871879754684805121,11289,37972
871762521631449091,3505,20240
871515927908634625,3479,20184
871166179821445120,5746,0
871102520638267392,5553,20913
